,accommodates,bathrooms,bedrooms,size,room_type,bed_type,minimum_nights,instant_bookable,cancellation_policy,bag_of_words
2015,3,1.0,1.0,75.0,Entire home/apt,Real Bed,4,f,strict_14_with_grace_period,great location 30 75 sq meter wood floor high ceiling typical altbau section apartment consist 1 simple large room small kitchen bathroom + shower apartment mitte close prenzlauer berg mauerpark perfect short visit single couple section close rest big flat wich noticeable share space a+++ location einliegerwohnung extention large apartment separate entrance bathroom kitchen door rest apartment soundproof hide lock barely noticable mirror picture 30 sq meter face quiet courtyard wood floor high ceiling typical altbau apartment consist 1 large room large double bed optionally extra matress 3rd guest small kitchen suitable prepare simple meal bathroom + shower + bathtub course entrance linen 
2695,2,1.0,1.0,25.0,Private room,Real Bed,2,f,flexible,summertime spending weekend little house garden want use opportunity rent room cosy 2 bedroom apartment stay room happy tip thing sure stay run smoothly room 25 square meter locate 2nd floor bed measure 180 cm x 200 cm fit kapok futon hard ish mattress find pleasant sleep typical style apartment locate friendly calm neighborhood plus room face away street interior area generally quiet cafe bar shop action prenzlauerberg district easily accessible pleasant 10 15 minute stroll mauerpark main bahn bahn public transport connection 10 15 minute walk away sort option ea 
